Regions,Nombre d'exploitations forestières sans scierie,Nombre de scieries sans exploitation forestière,Nombre d'exploitations forestières avec scieries,Total,Entreprises ayant une activité d'exploitation forestière,Entreprises ayant une activité de scierie
Total,1 861,609,553,3 023,2 414,1 162
Sièges à l'étranger,8,nd,nd,8,8,nd
France,1 853,609,553,3 015,2 406,1 162
Auvergne-Rhône-Alpes,376,159,139,674,515,298
Bourgogne-Franche-Comté,301,61,99,461,400,160
Bretagne,42,32,15,89,57,47
Centre-Val de Loire,94,14,22,130,116,36
Corse,s,s,s,s,22,s
Grand Est,271,104,69,444,340,173
Hauts-de-France,93,17,15,125,108,32
Île-de-France,s,s,s,s,38,s
Normandie,104,21,26,151,130,47
Nouvelle-Aquitaine,228,99,98,425,326,197
Occitanie,169,70,43,282,212,113
Pays de la Loire,45,12,17,74,62,29
Provence-Alpes-Côte d'Azur,73,19,7,99,80,26
